GRD,ATG,9.4
JPN,GRD,3.6
GEO,E27,18.5
E27,GEO,28.2
GEO,AZE,15.4
TUR,GEO,17.3
GEO,TUR,13.6
UKR,GEO,10.9
GEO,USA,11.4
AZE,GEO,9.1
GEO,ARM,10.1
CHN,GEO,6.5
GHA,E27,25.7
E27,GHA,38.5
GHA,TGO,25.0
CHN,GHA,15.2
GHA,ZAF,17.1
BRA,GHA,9.6
GHA,ARE,5.4
IDN,GHA,4.3
GHA,CHE,4.7
ZAF,GHA,2.9
GMB,SEN,35.3
E27,GMB,25.2
GMB,GIN,23.2
GIN,E27,49.6
E27,GIN,53.5
GIN,CHE,19.5
CHN,GIN,6.7
GIN,RUS,10.6
BRA,GIN,5.2
GIN,USA,6.7
AUS,GIN,3.9
GIN,CAN,4.0
BRA,GIN,2.9
GRC,E27,49.9
E27,GRC,51.9
GRC,TUR,7.8
RUS,GRC,9.5
GRC,USA,5.4
CHN,GRC,5.9
GRC,SGP,2.6
IRN,GRC,4.5
GTM,BRA,41.6
USA,GTM,39.2
GTM,SLV,11.1
MEX,GTM,11.2
GTM,BLZ,8.0
