Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Canada;CAN;6073080000;6062190000;6220220000;6444690000;7402150000;8621630000;10061800000;10819200000;12280200000;14018800000;14286000000;16472000000;20037600000;24713300000;34248400000;36106500000;40242900000;42082900000;46277600000;56641900000;62544000000;70010000000;58128000000;64789000000;77789000000;80640000000;85494000000;92593000000;1.12711E+11;1.19792E+11;1.23244E+11;1.24782E+11;1.29262E+11;1.39035E+11;1.55072E+11;1.68426E+11;1.75158E+11;2.00873E+11;2.06066E+11;2.20183E+11;2.44786E+11;2.27291E+11;2.27499E+11;2.45021E+11;2.79931E+11;3.22411E+11;3.59E+11;3.90188E+11;4.19011E+11;3.29907E+11;4.025E+11;4.62435E+11;
Cape Verde;CPV;12131500;6452870;6858780;3968700;6820870;5725220;5634780;7060870;7394780;11290400;16327000;20222000;24281600;33983000;34293500;39818600;30100500;37691500;53431800;53025400;68000000;71000000;72000000;87000000;83000000;84000000;107000000;100000000;106000000;112000000;136000000;147000000;180000000;154000000;209000000;252000000;234000000;235000000;228000000;246000000;230000000;234000000;276000000;351000000;431317000;438205438.8;542139000;749878000;825303000;709217000;742360000;947468364.4;
Caribbean small states;CSS;824039890;888773070;900638250;939013330;1130259250;1227817460;1314473650;1344453440;1383251900;1670929900;1935357500;2302879800;2516114900;2944898200;5638705700;6396765000;7187969600;7530622300;7365511400;8206401200;11747000000;9855000000;10453000000;8706000000;7165000000;5661000000;5444000000;5497000000;5650000000;7081000000;7468000000;8137000000;6664000000;7502000000;7335000000;9077000000;9900000000;11692000000;11695000000;11307000000;12995000000;12948920000;12922000000;13927282000;15691035000;18716717815;21325543481;24547739000;29336654000;21400665881;21860770767;26680000000;
Cayman Islands;CYM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;CAF;20076700;22276400;25152600;26392200;29855800;27449500;34931700;44188200;39780800;37690400;34179600;32806300;33912900;51632400;45997300;68766900;55053200;63253100;56612800;69649700;81000000;95000000;123000000;77000000;87000000;113000000;167000000;204000000;201000000;150000000;154000000;92000000;145000000;125000000;139000000;175000000;141000000;141000000;146000000;131000000;117000000;107000000;120000000;118000000;151244000;175000000;202528000;248921791;300000000;270000000;300000000;380000000;
Chad;TCD;25257900;25330900;29102300;29106400;34583300;31212900;32254000;58715100;54125300;53502500;61992800;62358400;62184700;82126900;87385000;132783000;115719000;189128000;217295000;85238200;74000000;108000000;109000000;157000000;181000000;166000000;212000000;226000000;228000000;240000000;285000000;249000000;243000000;200000000;177000000;365000000;332000000;334000000;356000000;316000000;317000000;679000000;1646000000;790000000;953000000;950000000;1350000000;1800000000;2000000000;2000000000;2100000000;2100000000;
Channel Islands;CHI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;625464000;711382000;679847000;663425000;722568000;718284000;891931000;818796000;851583000;1027730000;1063310000;1109460000;1086370000;1289750000;2147620000;1524970000;1864290000;2538750000;3407640000;4808060000;5797000000;7181000000;3989000000;3085000000;3574000000;3072000000;3436000000;4396000000;5292000000;7144000000;7742000000;8207000000;10183000000;11134000000;11820000000;15900000000;19199000000;20822000000;19880000000;15988000000;18507000000;17429000000;17091000000;19322400000;24793500000;32735100000;38406100000;47163800000;62023910000;42570800000;58955750000;74198554843;
China;CHN;2648460000;1746680000;1372970000;1450150000;1710120000;2246320000;2481910000;2169140000;2067580000;1917290000;2278810000;2128520000;2850690000;5207560000;7791150000;7925580000;6660140000;7148240000;11130900000;15620600000;19941000000;22014000000;19285000000;21390000000;27410000000;42252000000;42904000000;43216000000;55268000000;59142000000;53345000000;63791000000;80585000000;1.03959E+11;1.15615E+11;1.32084E+11;1.38833E+11;1.4237E+11;1.40237E+11;1.65699E+11;2.25094E+11;2.43553E+11;2.9517E+11;4.1276E+11;5.61229E+11;6.59953E+11;7.91461E+11;9.56116E+11;1.13257E+12;1.00592E+12;1.3951E+12;1.74346E+12;
Colombia;COL;517400000;557300000;541300000;508200000;586300000;453800000;674500000;497100000;643400000;684700000;843000000;929400000;858900000;1061500000;1597200000;1494800000;1661900000;1880000000;2971000000;3364100000;4739000000;5201000000;5480000000;4963000000;4498000000;4141000000;3862000000;4322000000;5002000000;5004000000;5590000000;4906000000;6516000000;9831000000;11882000000;13853000000;13683000000;15378000000;14635000000;10659000000;11539000000;12834000000;12711100000;13888500000;16745700000;21204400000;26162321000;32897045000;39668817000;32897672000;40682699000;54674822164;
Comoros;COM;3807930;3682350;4407480;5408080;6104850;6574760;7222920;7494340;7141900;7972630;8544900;10238500;11633700;15115300;25770400;23209300;13053000;16497200;19184200;28840800;29000000;32000000;33000000;34000000;43000000;36000000;37000000;52000000;53000000;43000000;52000000;58000000;69000000;59000000;53000000;63000000;57000000;55000000;54000000;55000000;43000000;51000000;53000000;70000000;85603000;98688000;115229000;138311000;175885950.4;169551589.8;180410705.9;180000000;
Congo, Dem. Rep.;ZAR;235000000;200000000;85937100;131375000;87474400;97373300;103838000;78292800;103133000;131733000;178533000;203206000;208466000;251466000;349399000;300265000;224488000;203108000;196322000;199154000;1519000000;1421000000;1297000000;1213000000;1176000000;1247000000;1283000000;1774000000;1610000000;1925000000;1739000000;1304000000;935000000;614000000;667000000;871000000;1089000000;770000000;1102000000;568000000;682800000;789500000;1080500000;1494600000;2051400000;2690400000;2891600000;3400000000;4300000000;3900000000;4500000000;5500000000;
Congo, Rep.;COG;70163200;79075400;76442300;63714400;66785400;66651900;71717300;84447700;86012400;80254300;59008800;81585400;104272000;128454000;127431000;170185000;171819000;207986000;259279000;291247000;580000000;446000000;767000000;648000000;618000000;598000000;597000000;529000000;564000000;518000000;621000000;594000000;451000000;581000000;631000000;670000000;1551000000;926000000;680000000;821000000;465000000;682000000;675000000;831000000;968984544.3;1303586189;2012852000;2530000000;3050000000;2900000000;4000000000;5100000000;
Costa Rica;CRI;110400000;107200000;113400000;123900000;138600000;178200000;178500000;190700000;213900000;245100000;316700000;349700000;372800000;455300000;719700000;694000000;770400000;1021400000;1165700000;1396800000;1540000000;1209000000;889000000;988000000;1094000000;1098000000;1148000000;1383000000;1410000000;1717000000;1990000000;1877000000;2440000000;3515000000;3789000000;4036000000;4300000000;4924000000;6230000000;6320000000;6372000000;6569000000;7188000000;7663000000;8268000000;9824000000;11548130000;12952400000;15371600000;11394500000;13569600000;16219700000;
