Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Channel Islands;CHI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;488100000;506300000;530100000;521500000;592100000;637400000;817100000;847400000;858000000;1075400000;1248600000;996800000;855400000;1230500000;2480500000;1552100000;2082600000;2190300000;2477700000;3894200000;4705000000;3836000000;3705000000;3830000000;3650000000;3804000000;4191000000;5224000000;7052000000;8080000000;8372000000;8941000000;10007000000;9198000000;11604000000;16024000000;16627000000;17902000000;16323000000;17162000000;19210000000;18272000000;18180000000;21664000000;32520300000;41266900000;58680100000;67971628000;66258820000;54004360000;71028420000;80585976016;
China;CHN;2571280000;1941660000;1913230000;2031030000;2250380000;2563160000;2680950000;2388490000;2339740000;2429110000;2307250000;2782510000;3692540000;5876100000;7107890000;7689000000;6943440000;7519650000;9954860000;13614100000;18099000000;22007000000;22321000000;22226000000;26139000000;27350000000;30942000000;39437000000;47516000000;52538000000;62091000000;71910000000;84940000000;91744000000;1.21006E+11;1.4878E+11;1.51048E+11;1.82792E+11;1.83712E+11;1.94931E+11;2.49203E+11;2.66098E+11;3.25596E+11;4.38228E+11;5.93326E+11;7.61953E+11;9.68978E+11;1.22046E+12;1.43069E+12;1.20161E+12;1.57782E+12;1.8986E+12;
Colombia;COL;464600000;433400000;463200000;446000000;547900000;537800000;506500000;509900000;558500000;607400000;726700000;686000000;807500000;1168600000;1508600000;1465000000;1873800000;2403400000;3009800000;3410600000;3924000000;2916000000;3024000000;3001000000;3462000000;3552000000;5102000000;4642000000;5037000000;5717000000;6766000000;7232000000;6917000000;7115000000;8419000000;10056000000;10587000000;11522000000;10852000000;11576000000;13040000000;12290000000;11911000000;13079800000;16223500000;21190000000;24390830000;29991410000;37625900000;32852986000;39819529000;56953516086;
Comoros;COM;3240800;2778980;2535920;4703200;3994280;3706660;3860600;3799830;4083400;4963230;4601930;5677210;5995430;4962150;8882330;9500210;11818400;8967040;9301850;17398500;9000000;16000000;20000000;19000000;7000000;16000000;20000000;12000000;21000000;18000000;18000000;24000000;22000000;22000000;11000000;11000000;6140000;5628000;6000000;9000000;14000000;17000000;19000000;26700000;18631000;12025000;9927000;13813000;9120034.301;15863782.68;16432544.19;20000000;
Congo, Dem. Rep.;ZAR;480000000;300000000;340698000;459478000;318250000;306126000;424333000;445747000;570322000;680345000;781367000;687146000;737757000;1013020000;1381290000;864984000;943535000;988616000;931182000;1513920000;2269000000;1678000000;1601000000;1686000000;1928000000;1853000000;1844000000;1813000000;2460000000;2417000000;2326000000;1649000000;1246000000;1144000000;1256000000;1563000000;1547000000;1449000000;1422000000;809000000;806600000;880400000;1132100000;1377700000;1917200000;2402800000;2704700000;3100000000;4400000000;3500000000;5300000000;6600000000;
Congo, Rep.;COG;17945900;19606800;35041100;41705000;47404700;46805200;43179500;47514100;49377600;43848900;30834400;39716600;59602200;89268600;229406000;178337000;221141000;267151000;308239000;495620000;911000000;811000000;993000000;640000000;1183000000;1087000000;777000000;973000000;751000000;910000000;981000000;1029000000;1183000000;1068000000;959000000;1172000000;1345000000;1668000000;1365000000;1560000000;2489000000;2055000000;2280000000;2677000000;3433000000;4745000000;6077569000;5635000000;8324605576;6100000000;9300000000;10800000000;
Costa Rica;CRI;84300000;84200000;93000000;95000000;113900000;111800000;135500000;143800000;170800000;189700000;231200000;225400000;280900000;344500000;440300000;493300000;592900000;828200000;864900000;934400000;1002000000;1008000000;870000000;873000000;1006000000;976000000;1121000000;1158000000;1246000000;1415000000;1448000000;1598000000;1841000000;2625000000;2869000000;3453000000;3730000000;4268000000;5511000000;6577000000;5865000000;5021000000;5264000000;6102200000;6301470000;7026400000;8200000000;9337000000;9503700000;8783700000;9448095969;10408431507;
Cote d'Ivoire;CIV;157219000;192868000;193192000;230340000;296492000;277169000;310549000;325133000;424909000;452215000;468799000;456725000;553467000;857148000;1213060000;1180630000;1631640000;2157290000;2321860000;2514460000;3134000000;2533000000;2350000000;2090000000;2706000000;3197000000;3354000000;3109000000;2769000000;2807000000;3072000000;2686000000;2875000000;2519000000;2742000000;3806000000;4446000000;4451000000;4606000000;4661000000;3888000000;3946000000;5275000000;5788000000;6919000000;7697339000;8477000000;8668863000;10390000000;11326892369;10322708303;11130000000;
Croatia;HRV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4597000000;3913000000;4260000000;4517000000;4643490000;3981330000;4517190000;4303000000;4432000000;4666000000;4903580000;6186630000;8024160000;8773000000;10377000000;12364300000;14111700000;10473800000;11806200000;12289000000;
